Timestamp : 27|12_22:43
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,5,8,0,0,8,9,8,0,0,8
3,5,8,0,0,8,0,0,0,0,0
4,7,18,0,0,18,12,10,0,0,10
5,7,18,0,0,18,0,0,0,0,0
6,8,27,0,0,27,10,9,0,0,9
7,8,27,0,0,27,0,0,0,0,0
8,11,34,0,0,34,10,7,0,0,7
9,11,34,0,0,34,0,0,0,0,0
10,12,43,0,0,43,10,9,0,0,9
11,13,48,0,0,48,6,5,0,0,5
12,15,52,0,1,53,7,4,0,1,5
13,17,55,0,2,57,6,3,0,1,4
14,18,66,0,2,68,12,11,0,0,11
15,18,72,0,2,74,6,6,0,0,6
16,19,79,0,2,81,8,7,0,0,7
17,21,84,2,2,88,9,5,2,0,7
18,27,95,2,2,99,17,11,0,0,11
19,32,106,3,2,111,17,11,1,0,12
20,33,118,4,2,124,14,12,1,0,13
21,34,125,4,2,131,8,7,0,0,7
22,37,141,6,2,149,21,16,2,0,18
23,37,149,7,2,158,9,8,1,0,9
24,37,168,8,2,178,20,19,1,0,20
25,43,178,9,3,190,18,10,1,1,12
26,49,206,9,3,218,34,28,0,0,28
27,55,231,9,3,243,31,25,0,0,25
28,63,255,11,4,270,35,24,2,1,27
29,70,276,12,4,292,29,21,1,0,22
30,77,308,13,4,325,40,32,1,0,33
31,80,328,14,5,347,25,20,1,1,22
32,83,369,18,6,393,49,41,4,1,46
33,93,409,19,7,435,52,40,1,1,42
34,96,455,22,11,488,56,46,3,4,53
35,101,510,24,11,545,62,55,2,0,57
36,113,566,24,12,602,69,56,0,1,57
37,128,619,25,14,658,71,53,1,2,56
38,143,684,25,15,724,81,65,0,1,66
39,167,757,27,15,799,99,73,2,0,75
40,180,816,32,15,863,77,59,5,0,64
41,190,890,41,17,948,95,74,9,2,85
42,202,971,48,17,1036,100,81,7,0,88
43,217,1109,56,18,1183,162,138,8,1,147
44,233,1214,59,19,1292,125,105,3,1,109
45,266,1357,61,22,1440,181,143,2,3,148
46,275,1473,70,25,1568,137,116,9,3,128
47,297,1642,78,31,1751,205,169,8,6,183
48,320,1766,85,34,1885,157,124,7,3,134
49,352,1938,90,39,2067,214,172,5,5,182
50,383,2094,98,43,2235,199,156,8,4,168
51,433,2279,105,46,2430,245,185,7,3,195
52,448,2444,115,56,2615,200,165,10,10,185
53,494,2677,125,58,2860,291,233,10,2,245
54,521,2871,140,64,3075,242,194,15,6,215
55,558,3152,146,74,3372,334,281,6,10,297
56,601,3403,165,77,3645,316,251,19,3,273
57,669,3713,180,83,3976,399,310,15,6,331
58,705,3986,190,98,4274,334,273,10,15,298
59,738,4361,207,107,4675,434,375,17,9,401
60,772,4691,227,120,5038,397,330,20,13,363
61,857,5079,244,130,5453,500,388,17,10,415
62,937,5485,263,138,5886,513,406,19,8,433
63,1005,5990,280,153,6423,605,505,17,15,537
64,1095,6440,308,167,6915,582,450,28,14,492
65,1186,6995,329,176,7500,676,555,21,9,585
66,1273,7560,354,187,8101,688,565,25,11,601
67,1344,8115,390,206,8711,681,555,36,19,610
68,1454,8754,405,223,9382,781,639,15,17,671
69,1592,9423,434,240,10097,853,669,29,17,715
70,1755,10168,462,262,10892,958,745,28,22,795
71,1882,11016,498,289,11803,1038,848,36,27,911
72,2051,11920,540,303,12763,1129,904,42,14,960
73,2238,12848,591,325,13764,1188,928,51,22,1001
74,2411,13887,642,342,14871,1280,1039,51,17,1107
75,2595,15021,709,364,16094,1407,1134,67,22,1223
76,2824,16189,774,393,17356,1491,1168,65,29,1262
77,3113,17429,838,417,18684,1617,1240,64,24,1328
78,3369,18894,909,453,20256,1828,1465,71,36,1572
79,3653,20399,996,487,21882,1910,1505,87,34,1626
80,3956,22125,1082,526,23733,2154,1726,86,39,1851
81,4280,23871,1168,565,25604,2195,1746,86,39,1871
82,4602,25960,1276,602,27838,2556,2089,108,37,2234
83,4924,28114,1387,655,30156,2640,2154,111,53,2318
84,5380,30514,1506,694,32714,3014,2400,119,39,2558
85,5838,32935,1636,752,35323,3067,2421,130,58,2609
86,6358,35811,1760,815,38386,3583,2876,124,63,3063
87,6903,38636,1906,873,41415,3574,2825,146,58,3029
88,7536,42059,2064,936,45059,4277,3423,158,63,3644
89,8086,45496,2269,1030,48795,4286,3437,205,94,3736
90,8821,49556,2463,1111,53130,5070,4060,194,81,4335
91,9429,53405,2668,1208,57281,4759,3849,205,97,4151
92,10330,58256,2899,1311,62466,6086,4851,231,103,5185
93,11113,62962,3135,1428,67525,5842,4706,236,117,5059
94,12166,68606,3387,1529,73522,7050,5644,252,101,5997
95,13103,74184,3679,1675,79538,6953,5578,292,146,6016
96,14279,80676,4003,1836,86515,8153,6492,324,161,6977
97,15381,87140,4348,1999,93487,8074,6464,345,163,6972
98,16685,94691,4690,2146,101527,9344,7551,342,147,8040
99,18015,102149,5088,2322,109559,9362,7458,398,176,8032
100,19657,111054,5535,2529,119118,11201,8905,447,207,9559
101,21245,119970,5977,2763,128710,11180,8916,442,234,9592
102,23129,130512,6486,2969,139967,13141,10542,509,206,11257
103,24947,140951,7024,3212,151187,13038,10439,538,243,11220
104,27044,153226,7661,3506,164393,15303,12275,637,294,13206
105,29203,165548,8284,3797,177629,15395,12322,623,291,13236
106,31747,179600,9009,4123,192732,17647,14052,725,326,15103
107,34251,194209,9807,4460,208476,18248,14609,798,337,15744
108,37173,210776,10598,4841,226215,20661,16567,791,381,17739
109,40185,228027,11496,5213,244736,21533,17251,898,372,18521
110,43409,247259,12481,5684,265424,23912,19232,985,471,20688
111,47136,267399,13498,6121,287018,25321,20140,1017,437,21594
112,51075,290025,14634,6678,311337,28258,22626,1136,557,24319
113,55371,313608,15850,7193,336651,29610,23583,1216,515,25314
114,59984,340402,17156,7780,365338,33300,26794,1306,587,28687
115,64877,368481,18536,8439,395456,35011,28079,1380,659,30118
116,70347,399428,20093,9113,428634,38648,30947,1557,674,33178
117,76161,432103,21754,9893,463750,40930,32675,1661,780,35116
118,82618,468151,23585,10676,502412,45119,36048,1831,783,38662
119,89243,506701,25556,11626,543883,48096,38550,1971,950,41471
120,96666,549148,27692,12553,589393,52933,42447,2136,927,45510
121,104849,594425,29989,13587,638001,56791,45277,2297,1034,48608
122,113507,644068,32481,14708,691257,61914,49643,2492,1121,53256
123,123102,697146,35139,15835,748120,66458,53078,2658,1127,56863
124,133521,755249,38076,17114,810439,72738,58103,2937,1279,62319
125,144469,817791,41269,18505,877565,78074,62542,3193,1391,67126
126,156416,885588,44700,20066,950354,84736,67797,3431,1561,72789
127,169754,959320,48329,21692,1029341,92325,73732,3629,1626,78987
128,183797,1039041,52316,23507,1114864,99566,79721,3987,1815,85523
129,199050,1126129,56739,25456,1208324,108713,87088,4423,1949,93460
130,215488,1219886,61354,27491,1308731,116845,93757,4615,2035,100407
131,233641,1322262,66453,29766,1418481,127903,102376,5099,2275,109750
132,252857,1431777,72024,32202,1536003,136738,109515,5571,2436,117522
133,274259,1552006,77961,34820,1664787,150186,120229,5937,2618,128784
134,297036,1680767,84304,37774,1802845,160835,128761,6343,2954,138058
135,322053,1822518,91156,40992,1954666,176838,141751,6852,3218,151821
136,348658,1973012,98964,44429,2116405,188344,150494,7808,3437,161739
137,378003,2138238,107191,48078,2293507,206447,165226,8227,3649,177102
138,408954,2316187,116181,52103,2484471,221915,177949,8990,4025,190964
139,443398,2509662,125836,56527,2692025,241998,193475,9655,4424,207554
140,480325,2718014,136171,61140,2915325,260227,208352,10335,4613,223300
141,520810,2944826,147464,66304,3158594,283754,226812,11293,5164,243269
142,563733,3189582,159872,71891,3421345,305674,244756,12408,5587,262751
143,611166,3455966,173077,77799,3706842,332930,266384,13205,5908,285497
144,660791,3742557,187658,84343,4014558,357341,286591,14581,6544,307716
145,716153,4055587,203407,91312,4350306,391110,313030,15749,6969,335748
146,775645,4391557,220727,99077,4711361,420547,335970,17320,7765,361055
147,840681,4757724,239026,107401,5104151,457826,366167,18299,8324,392790
148,910375,5151016,259076,116304,5526396,491939,393292,20050,8903,422245
149,986194,5580459,280731,126081,5987271,536694,429443,21655,9777,460875
150,1067398,6041967,304129,136470,6482566,576499,461508,23398,10389,495295
151,1156551,6544659,329408,147822,7021889,628476,502692,25279,11352,539323
152,1252823,7086031,356716,160079,7602826,677209,541372,27308,12257,580937
153,1357717,7676735,386343,173383,8236461,738529,590704,29627,13304,633635
154,1469595,8312295,419128,187971,8919394,794811,635560,32785,14588,682933
155,1591854,9006228,454112,203442,9663782,866647,693933,34984,15471,744388
156,1723743,9752768,491621,220122,10464511,932618,746540,37509,16680,800729
157,1866976,10564706,532579,238453,11335738,1014460,811938,40958,18331,871227
158,2021340,11441311,576819,258486,12276616,1095242,876605,44240,20033,940878
159,2191651,12395285,624352,279861,13299498,1193193,953974,47533,21375,1022882
160,2373961,13424052,676350,303362,14403764,1286576,1028767,51998,23501,1104266
161,2573106,14545319,732563,328780,15606662,1402043,1121267,56213,25418,1202898
162,2786705,15753172,793467,355917,16902556,1509493,1207853,60904,27137,1295894
163,3018115,17065316,859687,385826,18310829,1639683,1312144,66220,29909,1408273
164,3267840,18481361,930786,418164,19830311,1769207,1416045,71099,32338,1519482
165,3539845,20018551,1008242,453089,21479882,1921576,1537190,77456,34925,1649571
166,3833744,21682651,1092446,490580,23265677,2079694,1664100,84204,37491,1785795
167,4153082,23486648,1183444,531346,25201438,2255099,1803997,90998,40766,1935761
168,4499983,25441388,1281343,575440,27298171,2443634,1954740,97899,44094,2096733
169,4875044,27556442,1387741,623286,29567469,2644359,2115054,106398,47846,2269298
170,5280976,29848804,1503319,675192,32027315,2865778,2292362,115578,51906,2459846
171,5719541,32328709,1628762,731457,34688928,3100178,2479905,125443,56265,2661613
172,6194873,35017202,1764794,792345,37574341,3360745,2688493,136032,60888,2885413
173,6708235,37927045,1912126,858786,40697957,3636978,2909843,147332,66441,3123616
174,7267690,41080494,2070875,929699,44081068,3942566,3153449,158749,70913,3383111
175,7871230,44494887,2244147,1006976,47746010,4268482,3414393,173272,77277,3664942
176,8526613,48195426,2431108,1090608,51717142,4626515,3700539,186961,83632,3971132
177,9237031,52201118,2633263,1181417,56015798,5009074,4005692,202155,90809,4298656
178,10006686,56545822,2852112,1279290,60677224,5431081,4344704,218849,97873,4661426
179,10838403,61248258,3089396,1385588,65723242,5877735,4702436,237284,106298,5046018
180,11742081,66342189,3346742,1499901,71188832,6369268,5093931,257346,114313,5465590
181,12717285,71859430,3625567,1624985,77109982,6896354,5517241,278825,125084,5921150
182,13774379,77838216,3927178,1760465,83525859,7472971,5978786,301611,135480,6415877
183,14921910,84314118,4253886,1906910,90474914,8096586,6475902,326708,146445,6949055
184,16162276,91336691,4607672,2066309,98010672,8776124,7022573,353786,159399,7535758
185,17505914,98935631,4991056,2237919,106164606,9497572,7598940,383384,171610,8153934
186,18964905,107166797,5406106,2424055,114996958,10291343,8231166,415050,186136,8832352
187,20542418,116081021,5856325,2625892,124563238,11143793,8914224,450219,201837,9566280
188,22251849,125739383,6343646,2844040,134927069,12073262,9658362,487321,218148,10363831
189,24106334,136194880,6870879,3080550,146146309,13073725,10455497,527233,236510,11219240
190,26110805,147525608,7443040,3337400,158306048,14164210,11330728,572161,256850,12159739
191,28285340,159798525,8061034,3615004,171474563,15343050,12272917,617994,277604,13168515
192,30639447,173100470,8731420,3914297,185746187,16625731,13301945,670386,299293,14271624
