Timestamp : 13|01_01:09
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,5,8,0,0,8,9,8,0,0,8
3,5,8,0,0,8,0,0,0,0,0
4,7,14,0,0,14,8,6,0,0,6
5,7,14,0,0,14,0,0,0,0,0
6,7,22,0,0,22,8,8,0,0,8
7,7,22,0,0,22,0,0,0,0,0
8,9,32,0,0,32,12,10,0,0,10
9,9,32,0,0,32,0,0,0,0,0
10,11,45,0,1,46,16,13,0,1,14
11,11,45,0,1,46,0,0,0,0,0
12,12,55,1,1,57,12,10,1,0,11
13,12,55,1,1,57,0,0,0,0,0
14,13,65,2,1,68,12,10,1,0,11
15,13,65,2,1,68,0,0,0,0,0
16,18,77,2,1,80,17,12,0,0,12
17,17,77,3,1,81,0,0,1,0,1
18,20,96,3,1,100,22,19,0,0,19
19,19,96,4,1,101,0,0,1,0,1
20,22,118,4,1,123,25,22,0,0,22
21,22,118,4,1,123,0,0,0,0,0
22,28,137,4,1,142,25,19,0,0,19
23,28,137,4,1,142,0,0,0,0,0
24,32,158,5,2,165,27,21,1,1,23
25,30,158,6,3,167,0,0,1,1,2
26,39,179,6,3,188,30,21,0,0,21
27,37,179,8,3,190,0,0,2,0,2
28,44,207,9,3,219,36,28,1,0,29
29,45,212,9,3,224,6,5,0,0,5
30,49,244,10,5,259,39,32,1,2,35
31,53,254,10,5,269,14,10,0,0,10
32,57,279,10,6,295,30,25,0,1,26
33,56,293,11,7,311,15,14,1,1,16
34,64,329,12,7,348,45,36,1,0,37
35,67,342,12,8,362,17,13,0,1,14
36,71,386,15,8,409,51,44,3,0,47
37,68,408,18,12,438,26,22,3,4,29
38,70,452,21,12,485,49,44,3,0,47
39,72,472,21,12,505,22,20,0,0,20
40,81,519,22,13,554,58,47,1,1,49
41,84,536,23,13,572,21,17,1,0,18
42,95,592,24,13,629,68,56,1,0,57
43,93,620,26,15,661,30,28,2,2,32
44,103,677,29,15,721,70,57,3,0,60
45,105,704,31,19,754,35,27,2,4,33
46,120,766,34,20,820,81,62,3,1,66
47,117,793,38,24,855,32,27,4,4,35
48,128,848,41,25,914,70,55,3,1,59
49,137,891,41,25,957,52,43,0,0,43
50,141,948,45,26,1019,66,57,4,1,62
51,147,986,48,29,1063,50,38,3,3,44
52,158,1048,51,33,1132,80,62,3,4,69
53,167,1106,54,35,1195,72,58,3,2,63
54,180,1188,59,35,1282,100,82,5,0,87
55,194,1255,61,36,1352,84,67,2,1,70
56,214,1351,62,37,1450,118,96,1,1,98
57,233,1417,67,39,1523,92,66,5,2,73
58,266,1533,73,42,1648,158,116,6,3,125
59,280,1622,76,47,1745,111,89,3,5,97
60,307,1757,86,52,1895,177,135,10,5,150
61,318,1864,91,58,2013,129,107,5,6,118
62,355,2023,96,63,2182,206,159,5,5,169
63,377,2146,103,64,2313,153,123,7,1,131
64,417,2328,111,70,2509,236,182,8,6,196
65,426,2485,129,77,2691,191,157,18,7,182
66,463,2673,134,80,2887,233,188,5,3,196
67,493,2865,144,84,3093,236,192,10,4,206
68,536,3077,152,89,3318,268,212,8,5,225
69,581,3305,165,94,3564,291,228,13,5,246
70,623,3580,181,104,3865,343,275,16,10,301
71,676,3838,193,107,4138,326,258,12,3,273
72,727,4145,209,117,4471,384,307,16,10,333
73,780,4443,223,121,4787,369,298,14,4,316
74,851,4793,242,132,5167,451,350,19,11,380
75,924,5151,260,137,5548,454,358,18,5,381
76,994,5611,283,149,6043,565,460,23,12,495
77,1055,6095,306,161,6562,580,484,23,12,519
78,1159,6600,326,172,7098,640,505,20,11,536
79,1257,7104,346,181,7631,631,504,20,9,533
80,1354,7730,381,195,8306,772,626,35,14,675
81,1447,8354,420,203,8977,764,624,39,8,671
82,1569,9085,454,228,9767,912,731,34,25,790
83,1700,9778,490,245,10513,877,693,36,17,746
84,1853,10643,527,259,11429,1069,865,37,14,916
85,2004,11459,570,290,12319,1041,816,43,31,890
86,2147,12385,615,308,13308,1132,926,45,18,989
87,2349,13399,668,345,14412,1306,1014,53,37,1104
88,2511,14442,725,374,15541,1291,1043,57,29,1129
89,2748,15682,778,401,16861,1557,1240,53,27,1320
90,2921,16866,849,427,18142,1454,1184,71,26,1281
91,3152,18262,920,471,19653,1742,1396,71,44,1511
92,3407,19621,994,492,21107,1709,1359,74,21,1454
93,3676,21266,1089,518,22873,2035,1645,95,26,1766
94,4007,22953,1167,563,24683,2141,1687,78,45,1810
95,4362,24905,1281,613,26799,2471,1952,114,50,2116
96,4700,26919,1386,653,28958,2497,2014,105,40,2159
97,5143,29134,1494,707,31335,2820,2215,108,54,2377
98,5550,31455,1608,756,33819,2891,2321,114,49,2484
99,6014,34073,1760,830,36663,3308,2618,152,74,2844
100,6476,36807,1906,889,39602,3401,2734,146,59,2939
101,7001,39814,2063,958,42835,3758,3007,157,69,3233
102,7573,42934,2235,1051,46220,3957,3120,172,93,3385
103,8159,46688,2422,1125,50235,4601,3754,187,74,4015
104,8749,50451,2643,1207,54301,4656,3763,221,82,4066
105,9492,54691,2862,1296,58849,5291,4240,219,89,4548
106,10206,59020,3065,1402,63487,5352,4329,203,106,4638
107,11126,64000,3287,1503,68790,6223,4980,222,101,5303
108,11963,69120,3554,1637,74311,6358,5120,267,134,5521
109,12937,74901,3823,1764,80488,7151,5781,269,127,6177
110,13908,80949,4136,1917,87002,7485,6048,313,153,6514
111,15043,87494,4484,2060,94038,8171,6545,348,143,7036
112,16353,94439,4835,2225,101499,8771,6945,351,165,7461
113,17802,102104,5257,2385,109746,9696,7665,422,160,8247
114,19268,110095,5662,2553,118310,10030,7991,405,168,8564
115,20945,119088,6090,2729,127907,11274,8993,428,176,9597
116,22674,128704,6576,2925,138205,12027,9616,486,196,10298
117,24594,139375,7128,3160,149663,13378,10671,552,235,11458
118,26594,150620,7723,3420,161763,14100,11245,595,260,12100
119,28718,163287,8379,3713,175379,15740,12667,656,293,13616
120,31085,176410,9011,4029,189450,16438,13123,632,316,14071
121,33626,190915,9721,4359,204995,18086,14505,710,330,15545
122,36595,206366,10481,4683,221530,19504,15451,760,324,16535
123,39519,223630,11435,5086,240151,21545,17264,954,403,18621
124,42704,242018,12414,5548,259980,23014,18388,979,462,19829
125,46064,261866,13468,5983,281317,24697,19848,1054,435,21337
126,49909,283822,14527,6496,304845,27373,21956,1059,513,23528
127,54007,307072,15703,7047,329822,29075,23250,1176,551,24977
128,58489,332348,16964,7630,356942,31602,25276,1261,583,27120
129,63292,359584,18358,8234,386176,34037,27236,1394,604,29234
130,68314,389267,19865,8918,418050,36896,29683,1507,684,31874
131,73898,420921,21486,9617,452024,39558,31654,1621,699,33974
132,80013,455376,23262,10390,489028,43119,34455,1776,773,37004
133,86519,492324,25114,11270,528708,46186,36948,1852,880,39680
134,93967,533259,27170,12215,572644,51384,40935,2056,945,43936
135,101800,576554,29388,13153,619095,54284,43295,2218,938,46451
136,110231,624706,31823,14273,670802,60138,48152,2435,1120,51707
137,119231,675977,34382,15433,725792,63990,51271,2559,1160,54990
138,129143,732118,37241,16706,786065,70185,56141,2859,1273,60273
139,139534,791695,40326,18105,850126,74452,59577,3085,1399,64061
140,150864,857062,43690,19609,920361,81565,65367,3364,1504,70235
141,163094,927439,47269,21178,995886,87755,70377,3579,1569,75525
142,176971,1004649,51107,22873,1078629,96620,77210,3838,1695,82743
143,191567,1087044,55353,24632,1167029,102996,82395,4246,1759,88400
144,207636,1177347,59933,26640,1263920,112960,90303,4580,2008,96891
145,224535,1273308,64952,28775,1367035,120014,95961,5019,2135,103115
146,243144,1378809,70372,31100,1480281,131855,105501,5420,2325,113246
147,262701,1491441,76300,33666,1601407,140683,112632,5928,2566,121126
148,284719,1614490,82574,36418,1733482,154093,123049,6274,2752,132075
149,307849,1746643,89322,39447,1875412,165060,132153,6748,3029,141930
150,333619,1890387,96749,42682,2029818,180176,143744,7427,3235,154406
151,360708,2045491,104777,46240,2196508,193779,155104,8028,3558,166690
152,390080,2212883,113520,50052,2376455,209319,167392,8743,3812,179947
153,421829,2394723,122897,54097,2571717,227011,181840,9377,4045,195262
154,456337,2591874,132864,58535,2783273,246064,197151,9967,4438,211556
155,493723,2804417,143735,63410,3011562,265675,212543,10871,4875,228289
156,534379,3034262,155512,68585,3258359,287453,229845,11777,5175,246797
157,578691,3282088,168236,74244,3524568,310521,247826,12724,5659,266209
158,625917,3550559,181911,80385,3812855,335513,268471,13675,6141,288287
159,677276,3841700,197012,86956,4125668,364172,291141,15101,6571,312813
160,732913,4156647,212983,94172,4463802,393771,314947,15971,7216,338134
161,792300,4498823,230707,101832,4831362,426947,342176,17724,7660,367560
162,857099,4866928,249448,110233,5226609,460046,368105,18741,8401,395247
163,928219,5267110,269833,119350,5656293,500804,400182,20385,9117,429684
164,1004649,5697883,291961,129069,6118913,539050,430773,22128,9719,462620
165,1086899,6166500,316075,139679,6622254,585591,468617,24114,10610,503341
166,1175480,6671673,342083,151148,7164904,631231,505173,26008,11469,542650
167,1272244,7219756,370175,163441,7753372,685232,548083,28092,12293,588468
168,1375980,7810902,400523,176833,8388258,738622,591146,30348,13392,634886
169,1488615,8452072,433244,191465,9076781,801158,641170,32721,14632,688523
170,1610996,9146407,468764,207286,9822457,868057,694335,35520,15821,745676
171,1743501,9897579,507498,224445,10629522,939570,751172,38734,17159,807065
172,1886490,10709477,549291,242988,11501756,1015223,811898,41793,18543,872234
173,2042576,11589219,594368,262735,12446322,1100652,879742,45077,19747,944566
174,2209138,12539909,643245,284574,13467728,1187968,950690,48877,21839,1021406
175,2391481,13570639,696121,307757,14574517,1289132,1030730,52876,23183,1106789
176,2588489,14684825,753234,332606,15770665,1393156,1114186,57113,24849,1196148
177,2801546,15892851,815191,359843,17067885,1510277,1208026,61957,27237,1297220
178,3031821,17195605,882475,389274,18467354,1629744,1302754,67284,29431,1399469
179,3279255,18611955,955187,421305,19988447,1768527,1416350,72712,32031,1521093
180,3548339,20137413,1033299,455563,21626275,1906912,1525458,78112,34258,1637828
181,3839969,21791286,1118337,493130,23402753,2068108,1653873,85038,37567,1776478
182,4153743,23579134,1210294,533609,25323037,2234058,1787848,91957,40479,1920284
183,4494527,25518357,1309890,577641,27405888,2423635,1939223,99596,44032,2082851
184,4861677,27612139,1417399,625240,29654778,2616040,2093782,107509,47599,2248890
185,5261483,29882230,1533811,676858,32092899,2837927,2270091,116412,51618,2438121
186,5693445,32335993,1659348,732502,34727843,3066906,2453763,125537,55644,2634944
187,6159577,34989816,1795360,792210,37577386,3315675,2653823,136012,59708,2849543
188,6666670,37865446,1941951,857270,40664667,3594374,2875630,146591,65060,3087281
189,7215424,40970032,2101225,927208,43998465,3882552,3104586,159274,69938,3333798
190,7807278,44340258,2273704,1003475,47617437,4210826,3370226,172479,76267,3618972
191,8446803,47972896,2460288,1085895,51519079,4541167,3632638,186584,82420,3901642
192,9141304,51916823,2661794,1174886,55753503,4928925,3943927,201506,88991,4234424
