Timestamp : 27|12_22:44
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,6,9,0,0,9,11,9,0,0,9
3,6,9,0,0,9,0,0,0,0,0
4,8,16,0,0,16,9,7,0,0,7
5,7,16,0,1,17,0,0,0,1,1
6,9,18,0,1,19,4,2,0,0,2
7,9,18,0,1,19,0,0,0,0,0
8,8,23,1,1,25,5,5,1,0,6
9,8,23,1,1,25,0,0,0,0,0
10,9,26,1,1,28,4,3,0,0,3
11,10,34,1,1,36,9,8,0,0,8
12,9,38,1,2,41,4,4,0,1,5
13,11,42,1,2,45,6,4,0,0,4
14,14,50,1,2,53,11,8,0,0,8
15,14,55,1,2,58,5,5,0,0,5
16,17,60,2,2,64,9,5,1,0,6
17,18,68,3,2,73,10,8,1,0,9
18,18,73,4,2,79,6,5,1,0,6
19,18,87,4,3,94,15,14,0,1,15
20,18,92,4,3,99,5,5,0,0,5
21,20,100,4,3,107,10,8,0,0,8
22,26,111,4,3,118,17,11,0,0,11
23,28,127,4,3,134,18,16,0,0,16
24,32,151,5,3,159,29,24,1,0,25
25,36,164,5,3,172,17,13,0,0,13
26,38,190,8,3,201,31,26,3,0,29
27,39,203,9,4,216,16,13,1,1,15
28,44,232,11,4,247,36,29,2,0,31
29,46,250,11,5,266,21,18,0,1,19
30,51,290,12,6,308,47,40,1,1,42
31,54,299,12,6,317,12,9,0,0,9
32,62,339,12,7,358,49,40,0,1,41
33,67,351,15,7,373,20,12,3,0,15
34,79,396,16,7,419,58,45,1,0,46
35,83,425,20,8,453,38,29,4,1,34
36,95,472,21,9,502,61,47,1,1,49
37,98,509,24,9,542,43,37,3,0,40
38,109,569,26,10,605,74,60,2,1,63
39,116,610,27,12,649,51,41,1,2,44
40,125,680,31,14,725,85,70,4,2,76
41,141,749,32,16,797,88,69,1,2,72
42,156,830,33,16,879,97,81,1,0,82
