Timestamp : 13|01_01:02
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,4,0,0,0,0,0,0,0,0,0
2,6,9,0,0,9,11,9,0,0,9
3,6,9,0,0,9,0,0,0,0,0
4,8,17,0,0,17,10,8,0,0,8
5,8,17,0,0,17,0,0,0,0,0
6,8,21,0,0,21,4,4,0,0,4
7,8,26,0,0,26,5,5,0,0,5
8,9,30,0,0,30,5,4,0,0,4
9,11,34,0,0,34,6,4,0,0,4
10,12,39,0,0,39,6,5,0,0,5
11,13,43,0,0,43,5,4,0,0,4
12,15,51,0,0,51,10,8,0,0,8
13,14,54,1,0,55,3,3,1,0,4
14,16,67,1,0,68,15,13,0,0,13
15,16,75,2,0,77,9,8,1,0,9
16,17,84,2,0,86,10,9,0,0,9
17,17,91,3,0,94,8,7,1,0,8
18,18,101,3,1,105,12,10,0,1,11
19,21,117,3,2,122,20,16,0,1,17
20,27,131,4,2,137,21,14,1,0,15
21,28,142,4,3,149,13,11,0,1,12
22,31,160,6,3,169,23,18,2,0,20
23,33,167,6,3,176,9,7,0,0,7
24,38,188,6,4,198,27,21,0,1,22
25,38,192,9,4,205,7,4,3,0,7
26,41,211,10,5,226,24,19,1,1,21
27,39,233,13,6,252,24,22,3,1,26
28,42,251,14,6,271,22,18,1,0,19
29,44,276,15,6,297,28,25,1,0,26
30,46,291,16,6,313,18,15,1,0,16
31,59,312,17,6,335,35,21,1,0,22
32,60,329,20,8,357,23,17,3,2,22
33,61,361,22,9,392,36,32,2,1,35
34,68,376,23,9,408,23,15,1,0,16
35,78,411,23,10,444,46,35,0,1,36
36,80,425,26,10,461,19,14,3,0,17
37,85,470,27,13,510,54,45,1,3,49
38,93,501,30,13,544,42,31,3,0,34
39,104,558,32,16,606,73,57,2,3,62
40,109,603,34,17,654,53,45,2,1,48
41,116,672,36,21,729,82,69,2,4,75
42,121,721,38,22,781,57,49,2,1,52
